Training Start: 2026-01-26 13:37:23.902411
Config: Epochs=60, BatchSize=4, LR=1e-05
----------------------------------------------------------------------------------------------------
[Epoch 0] AvgL: 8.00584 | AvgT: 0.71516 | AvgR: 0.01205 | WLoss: 0.7459071 | Lm: 2.67e-03 | LR: 0.0000100
[Epoch 1] AvgL: 7.46840 | AvgT: 0.52155 | AvgR: 0.01270 | WLoss: 0.8281348 | Lm: 2.66e-03 | LR: 0.0000100
[Epoch 2] AvgL: 7.17847 | AvgT: 0.41080 | AvgR: 0.01305 | WLoss: 1.0129073 | Lm: 2.31e-03 | LR: 0.0000100
[Epoch 3] AvgL: 6.92494 | AvgT: 0.35304 | AvgR: 0.01309 | WLoss: 1.4161347 | Lm: 1.94e-03 | LR: 0.0000100
[Epoch 4] AvgL: 6.95284 | AvgT: 0.33580 | AvgR: 0.01387 | WLoss: 1.3712226 | Lm: 1.91e-03 | LR: 0.0000100
[Epoch 5] AvgL: 7.14829 | AvgT: 0.32797 | AvgR: 0.01535 | WLoss: 0.9779667 | Lm: 2.55e-03 | LR: 0.0000100
[Epoch 6] AvgL: 7.47531 | AvgT: 0.32805 | AvgR: 0.01696 | WLoss: 1.6181494 | Lm: 3.04e-03 | LR: 0.0000100
[Epoch 7] AvgL: 7.98136 | AvgT: 0.33471 | AvgR: 0.01868 | WLoss: 1.2057202 | Lm: 3.55e-03 | LR: 0.0000100
[Epoch 8] AvgL: 6.75832 | AvgT: 0.32051 | AvgR: 0.01369 | WLoss: 1.4011186 | Lm: 3.57e-03 | LR: 0.0000100
[Epoch 9] AvgL: 6.51035 | AvgT: 0.30619 | AvgR: 0.01299 | WLoss: 1.7249229 | Lm: 3.37e-03 | LR: 0.0000100
[Epoch 10] AvgL: 6.46192 | AvgT: 0.30090 | AvgR: 0.01294 | WLoss: 1.5687177 | Lm: 3.55e-03 | LR: 0.0000100
[Epoch 11] AvgL: 6.11877 | AvgT: 0.29772 | AvgR: 0.01144 | WLoss: 1.9174297 | Lm: 3.52e-03 | LR: 0.0000100
[Epoch 12] AvgL: 6.30249 | AvgT: 0.29187 | AvgR: 0.01262 | WLoss: 1.1714625 | Lm: 3.13e-03 | LR: 0.0000100
[Epoch 13] AvgL: 6.07715 | AvgT: 0.28976 | AvgR: 0.01184 | WLoss: 1.7084403 | Lm: 2.76e-03 | LR: 0.0000100
[Epoch 14] AvgL: 5.99044 | AvgT: 0.28760 | AvgR: 0.01146 | WLoss: 1.8276265 | Lm: 2.79e-03 | LR: 0.0000050
[Epoch 15] AvgL: 6.00710 | AvgT: 0.28142 | AvgR: 0.01194 | WLoss: 2.0841672 | Lm: 2.73e-03 | LR: 0.0000050
[Epoch 16] AvgL: 5.83481 | AvgT: 0.28126 | AvgR: 0.01111 | WLoss: 1.7148458 | Lm: 2.53e-03 | LR: 0.0000050
[Epoch 17] AvgL: 5.99415 | AvgT: 0.28707 | AvgR: 0.01195 | WLoss: 2.0907404 | Lm: 2.47e-03 | LR: 0.0000050
